epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,945.502,1.07062,0.63776,1.16132,0.78488,0.67764,0.71673,0.28555,2.30238,1.18869,2.32626,0.0004556,0.0004556,0.0004556
119,953.46,1.09342,0.65245,1.16538,0.80618,0.71308,0.72301,0.29492,2.31654,1.09175,2.39655,0.0004424,0.0004424,0.0004424
120,961.399,1.05799,0.6297,1.1706,0.80928,0.74286,0.75564,0.3086,2.23946,1.04961,2.31104,0.0004292,0.0004292,0.0004292
121,969.421,1.04024,0.62678,1.16275,0.81049,0.7,0.72512,0.2932,2.24962,1.06184,2.25981,0.000416,0.000416,0.000416
122,977.609,1.03206,0.61051,1.13287,0.79625,0.7,0.72085,0.29244,2.30978,1.07412,2.3593,0.0004028,0.0004028,0.0004028
123,985.638,1.00799,0.5966,1.13367,0.82996,0.68571,0.72618,0.26547,2.33857,1.08909,2.37652,0.0003896,0.0003896,0.0003896
124,993.558,1.04769,0.62362,1.14346,0.80775,0.72857,0.73742,0.26775,2.34055,1.09111,2.42887,0.0003764,0.0003764,0.0003764
125,1001.47,1.01448,0.61305,1.15438,0.79988,0.67143,0.67946,0.26792,2.34993,1.19479,2.4592,0.0003632,0.0003632,0.0003632
126,1009.46,1.02269,0.61446,1.12667,0.79597,0.66884,0.68089,0.26013,2.39894,1.26219,2.45833,0.00035,0.00035,0.00035
127,1017.5,0.9991,0.60532,1.12921,0.82917,0.65714,0.69452,0.28512,2.33354,1.11572,2.39864,0.0003368,0.0003368,0.0003368
128,1025.36,1.00376,0.61922,1.12141,0.82367,0.66736,0.68666,0.27807,2.34194,1.11477,2.40996,0.0003236,0.0003236,0.0003236
129,1033.34,0.98338,0.57662,1.11923,0.75685,0.66705,0.65574,0.26886,2.32095,1.23182,2.38211,0.0003104,0.0003104,0.0003104
130,1041.36,0.98713,0.59707,1.11354,0.77214,0.72857,0.69289,0.28072,2.26971,1.1898,2.37875,0.0002972,0.0002972,0.0002972
131,1049.3,0.9926,0.60151,1.13467,0.83365,0.67143,0.72788,0.28407,2.29512,1.15898,2.42237,0.000284,0.000284,0.000284
132,1057.24,0.99058,0.59956,1.12062,0.8398,0.68571,0.73381,0.28613,2.32661,1.14664,2.40813,0.0002708,0.0002708,0.0002708
133,1065.21,0.94509,0.57614,1.09556,0.79466,0.68571,0.71619,0.27111,2.33679,1.1991,2.44943,0.0002576,0.0002576,0.0002576
134,1073.32,0.9749,0.58481,1.12264,0.8073,0.7,0.72923,0.27694,2.30238,1.09923,2.43374,0.0002444,0.0002444,0.0002444
135,1081.35,0.94293,0.57773,1.10916,0.84243,0.68744,0.7515,0.28644,2.27688,1.10062,2.34849,0.0002312,0.0002312,0.0002312
136,1089.32,0.95878,0.5724,1.10521,0.81423,0.68879,0.74264,0.28512,2.34083,1.13165,2.41114,0.000218,0.000218,0.000218
137,1097.33,0.88637,0.55466,1.08976,0.80569,0.72857,0.72461,0.27844,2.33902,1.12609,2.42674,0.0002048,0.0002048,0.0002048
138,1105.37,0.93781,0.55624,1.08527,0.87185,0.7,0.7432,0.27785,2.31458,1.11432,2.40794,0.0001916,0.0001916,0.0001916
139,1113.38,0.91888,0.56383,1.09022,0.8087,0.72473,0.73995,0.25935,2.35235,1.16505,2.4794,0.0001784,0.0001784,0.0001784
140,1121.32,0.94509,0.5545,1.10073,0.79778,0.71429,0.73086,0.27425,2.33518,1.13994,2.46603,0.0001652,0.0001652,0.0001652
141,1142.12,0.98248,0.55539,1.14679,0.79777,0.67631,0.67561,0.26346,2.39124,1.1621,2.51346,0.000152,0.000152,0.000152
142,1150.12,0.93434,0.5159,1.07915,0.78607,0.7,0.70076,0.2611,2.41062,1.11365,2.55785,0.0001388,0.0001388,0.0001388
143,1158.05,0.89514,0.50129,1.08887,0.7929,0.71106,0.69783,0.26586,2.38524,1.09172,2.5494,0.0001256,0.0001256,0.0001256
144,1166.03,0.87647,0.48832,1.06133,0.80966,0.7,0.7141,0.28141,2.35881,1.14942,2.52796,0.0001124,0.0001124,0.0001124
145,1174.04,0.85003,0.46474,1.0503,0.7911,0.70334,0.70904,0.27932,2.34854,1.16388,2.51273,9.92e-05,9.92e-05,9.92e-05
146,1182.02,0.8269,0.4618,1.04274,0.79122,0.71429,0.69674,0.2736,2.34362,1.16903,2.54124,8.6e-05,8.6e-05,8.6e-05
147,1190.14,0.8631,0.46875,1.03869,0.7908,0.71429,0.69794,0.28011,2.3193,1.12598,2.53066,7.28e-05,7.28e-05,7.28e-05
148,1198.11,0.8078,0.44943,1.04566,0.78266,0.72857,0.68989,0.28329,2.32785,1.13666,2.5353,5.96e-05,5.96e-05,5.96e-05
149,1206,0.81674,0.44909,1.03257,0.79296,0.72857,0.69925,0.27928,2.32177,1.11685,2.52393,4.64e-05,4.64e-05,4.64e-05
150,1214,0.81742,0.4621,1.02151,0.8244,0.74286,0.72435,0.28355,2.3173,1.10801,2.51989,3.32e-05,3.32e-05,3.32e-05
